GamesPlayed,Goals,AvgGoals,ShotsExclBlocked,PercShotsOnTarget,GoalsToShotsRatio,PercOverallPassCompetion,PercCrossCompletion,GoalsConceded,AvgGoalsConceded,PercTacklesWon,Fouls,YellowCards,RedCards,
Algeria,3,0,0,31,19,0,80,24,2,0.67,80,51,4,2
Argentina,5,10,2,69,57,14,86,24,6,1.2,76,65,7,0
Australia,3,3,1,29,45,10,81,27,6,2,84,60,7,2
Brazil,5,9,1.8,71,44,13,85,20,4,0.8,71,77,7,2
Cameroon,3,2,0.67,35,34,6,83,23,5,1.67,70,56,5,0
Chile,4,3,0.75,45,31,7,79,15,5,1.25,77,80,13,1
Denmark,3,3,1,32,44,9,81,26,6,2,85,56,6,0
England,4,3,0.75,49,53,6,78,21,5,1.25,73,52,6,0
France,3,1,0.33,29,34,3,82,18,4,1.33,75,53,6,1
Germany,6,13,2.17,66,45,20,84,18,3,0.5,76,64,8,1
Ghana,5,5,1,75,25,7,79,20,4,0.8,83,91,11,0
Greece,3,2,0.67,32,50,6,79,14,5,1.67,76,39,5,0
Honduras,3,0,0,13,15,0,71,19,3,1,77,52,7,0
Italy,3,4,1.33,36,44,11,76,19,5,1.67,83,44,5,0
IvoryCoast,3,4,1.33,39,38,10,86,31,3,1,76,55,5,0
Japan,4,4,1,38,39,11,71,20,2,0.5,71,69,7,0
Mexico,4,4,1,43,33,9,83,19,5,1.25,79,83,9,0
Netherlands,6,12,2,67,58,18,84,16,5,0.83,75,98,15,0
NewZealand,3,2,0.67,15,20,13,70,31,2,0.67,67,60,6,0
Nigeria,3,3,1,29,24,10,77,14,5,1.67,89,44,5,1
NorthKorea,3,1,0.33,32,28,3,75,23,12,4,82,27,2,0
Paraguay,5,3,0.6,49,41,6,72,29,2,0.4,70,95,9,0
Portugal,4,7,1.75,50,36,14,80,18,1,0.25,74,60,8,1
Serbia,3,2,0.67,38,24,5,85,30,3,1,73,30,8,1
Slovakia,4,5,1.25,35,29,14,78,12,7,1.75,78,69,11,0
Slovenia,3,3,1,17,59,18,76,14,3,1,76,46,9,0
SouthAfrica,3,3,1,35,40,9,84,18,5,1.67,68,42,4,1
SouthKorea,4,6,1.5,44,41,14,76,18,8,2,76,57,6,0
Spain,6,7,1.17,82,38,9,87,21,2,0.33,80,63,3,0
Switzerland,3,1,0.33,21,33,5,74,27,1,0.33,66,55,8,1
USA,4,5,1.25,55,44,9,74,26,5,1.25,72,53,9,0
Uruguay,6,9,1.5,70,49,13,72,17,5,0.83,71,86,8,2
