Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,10.5957264186601
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,19046357714.4928
Afghanistan,AFG,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,34656032
Afghanistan,AFG,Rural population (% of total population),SP.RUR.TOTL.ZS,74.98
Afghanistan,AFG,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,4.7
Afghanistan,AFG,Military expenditure (% of general government expenditure),MS.MIL.XPND.ZS,3.6802510519657
Afghanistan,AFG,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,9
Afghanistan,AFG,GINI index (World Bank estimate),SI.POV.GINI,..
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.747
Afghanistan,AFG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.635
Afghanistan,AFG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,33.214
Afghanistan,AFG,Land area (sq. km),AG.LND.TOTL.K2,652860
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,53.0834053242655
Afghanistan,AFG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Afghanistan,AFG,Mobile cellular subscriptions,IT.CEL.SETS,21602982
Afghanistan,AFG,Fixed telephone subscriptions,IT.MLT.MAIN,114192
Afghanistan,AFG,General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,..
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,66.363444701023
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,11883682170.8236
Albania,ALB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.69892642173124
Albania,ALB,"Population, total",SP.POP.TOTL,2876101
Albania,ALB,Rural population (% of total population),SP.RUR.TOTL.ZS,41.579
Albania,ALB,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,6.3
Albania,ALB,Military expenditure (% of general government expenditure),MS.MIL.XPND.ZS,1.18561906096052
Albania,ALB,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,6
Albania,ALB,GINI index (World Bank estimate),SI.POV.GINI,..
Albania,ALB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.379
